top	초기화면		green|guide|mail|bbs|computer|potion|blindnews|magazin|pds|edu2013
booksense	11. 책마루 XT	himspds1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=booksense&mo=himspds1&&gonum=&s_que=
blaze	12. 책마루 2 OCR	himspds1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=blaze&mo=himspds1&&gonum=&s_que=
himsetc	13. 기타자료	himspds1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=himsetc&mo=himspds1&&gonum=&s_que=
himsuser	14. 사용자 자료실	himspds1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=himsuser&mo=himspds1&&gonum=&s_que=
himspost	15. 제품 사용 수기	himspds1	http://web.kbuwel.or.kr/menu/index.php?page=1&club=hims&bcode=himspost&mo=himspds1&&gonum=&s_que=


xvsrd	2. Sense Reader 엑스비전	prg	xvinfo|xvfree|xvgame|xvqna|xvqna1|xvmsrd|xvfaq|xvtutor|xvpds|xvhope
xvinfo	1. 공지사항	xvsrd	http://web.kbuwel.or.kr/menu/?mo=xvsrd&club=main&bcode=xvinfo
xvfree	2. 자유게시판	xvsrd	http://web.kbuwel.or.kr/menu/?mo=xvsrd&club=main&bcode=xvfree
xvgame	3. 게임게시판	xvsrd	http://web.kbuwel.or.kr/menu/?mo=xvsrd&club=main&bcode=xvgame
xvqna	4. Sense Reader 묻고답하기	xvsrd	http://web.kbuwel.or.kr/menu/?mo=xvsrd&club=main&bcode=xvqna
xvqna1	5. 브레일노트 묻고답하기	xvsrd	http://web.kbuwel.or.kr/menu/?mo=xvsrd&club=main&bcode=xvqna1
xvmsrd	6. 모바일센스 묻고답하기	xvsrd	http://web.kbuwel.or.kr/menu/?mo=xvsrd&club=main&bcode=xvmsrd
xvfaq	7. 자주 묻는 질문과 답변	xvsrd	http://web.kbuwel.or.kr/menu/?mo=xvsrd&club=main&bcode=xvfaq

